Name,Brand,Current Price,Original Price,Discount %,Strap Colour,Strap Type,Watch Shape,Display Size,Display Type,Calorie Count,Step Count,Heart Rate Monitor,Health Features,Smart Functions
"Pebble Vienna Women 1.27""Ultra HD Display,Diamond Cut Design, BT ...more",Pebble,"₹1,499","₹1,478",69% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
Fire-Boltt Hunter 51.1mm (2.01) HD Display Bluetooth Calling Sing...more,Fire-Boltt,"₹1,499","₹2,499",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
GameSir Activ 2 Silicone Round Stay Connected with Health Fitness...more,GameSir,"₹2,164",₹862,62% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
GameSir Gen 9 Model : The Next Generation of women Fitness Yoga M...more,GameSir,"₹1,199","₹1,470",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
Nikki Trades Gen 9 Model Fitness Health Music Smartwatch: The Nex...more,Nikki,"₹2,164","₹4,999",70% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
Fire-Boltt Hunter 51.1mm (2.01) HD Display Bluetooth Calling Sing...more,Fire-Boltt,"₹1,499","₹2,499",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
Vibez by Lifelong Jewel Watch for Women with Bluetooth Calling & ...more,Vibez,"₹2,799","₹2,659",70% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate","BT Calling, Voice Assistant"
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,"₹1,449","₹1,399",85% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
Fastrack Revoltt Pro-1.97'' Super AMOLED Display|AOD|Working Crow...more,Fastrack,"₹3,199","₹3,599",58% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,"₹1,449",₹879,85% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
Wyltron Stylish Smartwatch pink T55 series 8 Bluetooth Calling Fi...more,Wyltron,₹704,₹691,65% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2, Sleep Monitor",BT Calling
